Seconds;Area%;Circularity;Vdeshidratacion;Vdeplasmolisi;Survival
278;0,853892141;0,894196;0,00%;0,06%;97,78%
279;0,855484992;0,893919;0,00%;0,06%;97,75%
280;0,85492646;0,891397;0,00%;0,06%;97,87%
281;0,855505678;0,893136;0,00%;0,06%;98,33%
282;0,855257442;0,897242;0,00%;0,05%;97,51%
283;0,854161064;0,895284;0,00%;0,05%;98,03%
284;0,860015308;0,893956;0,00%;0,06%;97,59%
285;0,858401771;0,89502;0,00%;0,06%;97,83%
286;0,857760493;0,892414;0,00%;0,06%;98,15%
287;0,859994622;0,895876;0,00%;0,06%;97,96%
288;0,861401295;0,894594;0,00%;0,06%;97,75%
289;0,861670218;0,892938;0,00%;0,06%;97,83%
290;0,861318549;0,897255;0,00%;0,06%;98,12%
291;0,861359922;0,900057;0,00%;0,06%;97,85%
292;0,864814547;0,89346;0,00%;0,06%;98,06%
293;0,865104156;0,900389;0,00%;0,06%;98,04%
294;0,863221696;0,899237;0,00%;0,06%;97,91%
295;0,86433876;0,900401;0,00%;0,06%;98,48%
296;0,866779752;0,896292;0,00%;0,06%;98,19%
297;0,864421506;0,896592;0,00%;0,06%;97,67%
298;0,866655634;0,89891;0,00%;0,06%;98,13%
299;0,866159161;0,898395;0,00%;0,06%;97,97%
300;0,868434662;0,898003;0,00%;0,06%;98,29%
301;0,86998614;0,894931;0,00%;0,06%;97,97%
302;0,867565834;0,897105;0,00%;0,06%;98,12%
303;0,866469457;0,896774;0,00%;0,06%;98,26%
304;0,870420554;0,897311;0,00%;0,06%;98,34%
305;0,868124366;0,895745;0,00%;0,06%;97,94%
306;0,870917027;0,897823;0,00%;0,06%;98,13%
307;0,869799963;0,899415;0,00%;0,06%;98,11%
308;0,874661261;0,893153;0,00%;0,07%;98,09%
309;0,872344387;0,900099;0,00%;0,06%;98,59%
310;0,87306841;0,8973;0,00%;0,06%;98,33%
311;0,868000248;0,899497;0,00%;0,05%;98,01%
312;0,875364597;0,897724;0,00%;0,06%;98,46%
313;0,871951346;0,895022;0,00%;0,06%;98,71%
314;0,875219793;0,895647;0,00%;0,06%;98,51%
315;0,874744006;0,899825;0,00%;0,06%;98,01%
316;0,87706088;0,899464;0,00%;0,06%;98,23%
317;0,875902443;0,894421;0,00%;0,06%;98,59%
318;0,876936762;0,896605;0,00%;0,06%;98,21%
319;0,876895389;0,895435;0,00%;0,06%;98,45%
320;0,878405494;0,898907;0,00%;0,06%;98,53%
321;0,877143625;0,899549;0,00%;0,06%;98,21%
322;0,878901967;0,899415;0,00%;0,06%;98,39%
323;0,877578039;0,89806;0,00%;0,06%;97,77%
324;0,878860595;0,895517;0,00%;0,06%;98,23%
325;0,878198631;0,894842;0,00%;0,06%;98,39%
326;0,877309116;0,898585;0,00%;0,06%;98,21%
327;0,88157051;0,89748;0,00%;0,06%;98,80%
328;0,878177944;0,894026;0,00%;0,06%;98,20%
329;0,880019031;0,899425;0,00%;0,06%;98,41%
330;0,879522558;0,896191;0,00%;0,06%;98,54%
331;0,880887859;0,897582;0,00%;0,06%;98,81%
332;0,882770319;0,895982;0,00%;0,06%;98,25%
333;0,881860119;0,895058;0,00%;0,06%;98,78%
334;0,887197203;0,900475;0,00%;0,06%;98,56%
335;0,883577088;0,900323;0,00%;0,06%;98,38%
336;0,882439337;0,901096;0,00%;0,06%;98,68%
337;0,88481827;0,898858;0,00%;0,06%;98,64%
338;0,888086717;0,89945;0,00%;0,06%;98,49%
339;0,887838481;0,899199;0,00%;0,06%;98,64%
340;0,887693676;0,897132;0,00%;0,06%;98,56%
341;0,886824848;0,896254;0,00%;0,06%;98,68%
342;0,88504582;0,901018;0,00%;0,06%;98,80%
343;0,889348586;0,898804;0,00%;0,06%;98,90%
344;0,88910035;0,898554;0,00%;0,06%;98,44%
345;0,886742103;0,898885;0,00%;0,06%;98,90%
346;0,888107404;0,89755;0,00%;0,06%;98,33%
347;0,891086241;0,900561;0,00%;0,06%;98,70%
348;0,892596347;0,897451;0,00%;0,06%;98,86%
349;0,888893486;0,898345;0,00%;0,06%;98,81%
350;0,890444964;0,895287;0,00%;0,06%;98,65%
351;0,891851637;0,896702;0,00%;0,06%;98,74%
352;0,896257835;0,900337;0,00%;0,06%;98,70%
353;0,894334002;0,903043;0,00%;0,06%;98,69%
354;0,891251732;0,89689;0,00%;0,06%;98,90%
355;0,891106928;0,894835;0,00%;0,06%;98,90%
356;0,892927329;0,900496;0,00%;0,06%;98,71%
357;0,896009598;0,902806;0,00%;0,06%;98,90%
358;0,894065079;0,899721;0,00%;0,06%;98,90%
359;0,895140771;0,898093;0,00%;0,06%;98,90%
360;0,892968702;0,897825;0,00%;0,06%;98,90%
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
